GEOGID,GEOGTYPE,GEOGDESC,LATTITUDE,LONGITUDE,T1_1AGE0M,T1_1AGE1M,T1_1AGE2M,T1_1AGE3M,T1_1AGE4M,T1_1AGE5M,T1_1AGE6M,T1_1AGE7M,T1_1AGE8M,T1_1AGE9M,T1_1AGE10M,T1_1AGE11M,T1_1AGE12M,T1_1AGE13M,T1_1AGE14M,T1_1AGE15M,T1_1AGE16M,T1_1AGE17M,T1_1AGE18M,T1_1AGE19M,T1_1AGE20_24M,T1_1AGE25_29M,T1_1AGE30_34M,T1_1AGE35_39M,T1_1AGE40_44M,T1_1AGE45_49M,T1_1AGE50_54M,T1_1AGE55_59M,T1_1AGE60_64M,T1_1AGE65_69M,T1_1AGE70_74M,T1_1AGE75_79M,T1_1AGE80_84M,T1_1AGEGE_85M,T1_1AGETM,T1_1AGE0F,T1_1AGE1F,T1_1AGE2F,T1_1AGE3F,T1_1AGE4F,T1_1AGE5F,T1_1AGE6F,T1_1AGE7F,T1_1AGE8F,T1_1AGE9F,T1_1AGE10F,T1_1AGE11F,T1_1AGE12F,T1_1AGE13F,T1_1AGE14F,T1_1AGE15F,T1_1AGE16F,T1_1AGE17F,T1_1AGE18F,T1_1AGE19F,T1_1AGE20_24F,T1_1AGE25_29F,T1_1AGE30_34F,T1_1AGE35_39F,T1_1AGE40_44F,T1_1AGE45_49F,T1_1AGE50_54F,T1_1AGE55_59F,T1_1AGE60_64F,T1_1AGE65_69F,T1_1AGE70_74F,T1_1AGE75_79F,T1_1AGE80_84F,T1_1AGEGE_85F,T1_1AGETF,T1_1AGE0T,T1_1AGE1T,T1_1AGE2T,T1_1AGE3T,T1_1AGE4T,T1_1AGE5T,T1_1AGE6T,T1_1AGE7T,T1_1AGE8T,T1_1AGE9T,T1_1AGE10T,T1_1AGE11T,T1_1AGE12T,T1_1AGE13T,T1_1AGE14T,T1_1AGE15T,T1_1AGE16T,T1_1AGE17T,T1_1AGE18T,T1_1AGE19T,T1_1AGE20_24T,T1_1AGE25_29T,T1_1AGE30_34T,T1_1AGE35_39T,T1_1AGE40_44T,T1_1AGE45_49T,T1_1AGE50_54T,T1_1AGE55_59T,T1_1AGE60_64T,T1_1AGE65_69T,T1_1AGE70_74T,T1_1AGE75_79T,T1_1AGE80_84T,T1_1AGEGE_85T,T1_1AGETT,T1_2SGLM,T1_2MARM,T1_2SEPM,T1_2DIVM,T1_2WIDM,T1_2TM,T1_2SGLF,T1_2MARF,T1_2SEPF,T1_2DIVF,T1_2WIDF,T1_2TF,T1_2SGLT,T1_2MART,T1_2SEPT,T1_2DIVT,T1_2WIDT,T1_2T,T2_1IEBP,T2_1UKBP,T2_1PLBP,T2_1LTBP,T2_1EUBP,T2_1RWBP,T2_1NSBP,T2_1TBP,T2_1IEN,T2_1UKN,T2_1PLN,T2_1LTN,T2_1EUN,T2_1RWN,T2_1NSN,T2_1TN,T2_2WI,T2_2WIT,T2_2OW,T2_2BBI,T2_2AAI,T2_2OTH,T2_2NS,T2_2T,T2_3SA,T2_3EC,T2_3EI,T2_3OI,T2_3T,T2_4CA,T2_4OR,T2_4NR,T2_4NS,T2_4T,T2_5T,T2_5PL,T2_5FR,T2_5LT,T2_5OTH,T2_6T,T2_6VW,T2_6W,T2_6NW,T2_6NAA,T2_6NS,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2T,T3_2DW,T3_2DWO,T3_2DO,T3_2WO,T3_2LO,T3_2NO,T3_2NSO,T3_3DM,T3_3WM,T3_3LOM,T3_3NM,T3_3TM,T3_3DF,T3_3WF,T3_3LOF,T3_3NF,T3_3TF,T3_3DT,T3_3WT,T3_3LOT,T3_3NT,T3_3TT,T4_1_2PF,T4_1_3PF,T4_1_4PF,T4_1_5PF,T4_1_GRE_6PF,T4_1_TF,T4_1_2PP,T4_1_3PP,T4_1_4PP,T4_1_5PP,T4_1_GRE_6PP,T4_1_TP,T4_1_2PC,T4_1_3PC,T4_1_4PC,T4_1_5PC,T4_1_GRE_6PC,T4_1_TC,T4_2_NCU15,T4_2_1CU15,T4_2_2CU15,T4_2_3CU15,T4_2_4CU15,T4_2_GE5U15,T4_2_NCO15,T4_2_1CO15,T4_2_2CO15,T4_2_3CO15,T4_2_4CO15,T4_2_GE5O15,T4_2_NCUO15,T4_2_1CUO15,T4_2_2CUO15,T4_2_3CUO15,T4_2_4CUO15,T4_2_GE5UO15,T4_2_NCT,T4_2_1CT,T4_2_2CT,T4_2_3CT,T4_2_4CT,T4_2_GE5T,T4_3FLT15C,T4_3FGE15C,T4_3FOTH15C,T4_3FTC,T4_3FLT15LM,T4_3FGE15LM,T4_3FOTH15LM,T4_3FTLM,T4_3FLT15LF,T4_3FGE15LF,T4_3FOTH15LF,T4_3FTLF,T4_3CLT15C
C01,CTY,Carlow,52.7189747,-6.8503703,469,414,455,476,416,400,442,386,418,412,401,415,397,360,361,341,345,336,378,351,1877,2012,2260,2192,1982,1813,1641,1460,1310,996,800,535,358,222,27431,429,430,424,440,392,411,407,457,408,360,362,360,373,351,323,328,321,319,354,317,1739,2087,2303,2119,1947,1788,1646,1416,1270,1040,765,611,460,424,27181,898,844,879,916,808,811,849,843,826,772,763,775,770,711,684,669,666,655,732,668,3616,4099,4563,4311,3929,3601,3287,2876,2580,2036,1565,1146,818,646,54612,15430,10334,648,483,536,27431,13728,10253,867,611,1722,27181,29158,20587,1515,1094,2258,54612,46374,2772,2109,233,1179,1518,0,54185,47487,1231,2278,238,1147,1103,701,54185,46586,413,4812,487,638,404,845,54185,49770,2158,943,417,53288,47311,4324,2164,813,54612,5771,2262,536,227,2746,5771,2178,2016,1116,239,222,19972,30877,1142,51991,19972,6157,390,354,1060,6862,4942,207,73,46,31,19,169,117,62,26,16,221,190,108,57,35,390,5407,3434,3179,1576,685,14281,10814,10302,12716,7880,4330,46042,1480,4162,6612,4806,2996,20056,0,1998,1971,852,229,41,0,2188,1162,379,76,24,0,0,520,521,272,121,3927,4186,3653,1752,577,186,4000,2630,1148,7778,1013,936,257,2206,78,263,29,370,7950
C02,CTY,Dublin City,53.3498053,-6.2603097,3530,3333,3087,2831,2608,2498,2602,2507,2606,2415,2556,2530,2695,2568,2584,2524,2522,2573,3132,3623,22670,30573,28727,21460,17663,15886,14206,12108,11060,8687,7305,5677,3624,2333,257303,3436,3107,2942,2811,2565,2418,2416,2383,2350,2491,2367,2399,2474,2511,2409,2522,2417,2708,3192,4001,24736,31838,28162,20323,17344,16401,14709,12558,11455,9772,9128,8116,6288,5560,270309,6966,6440,6029,5642,5173,4916,5018,4890,4956,4906,4923,4929,5169,5079,4993,5046,4939,5281,6324,7624,47406,62411,56889,41783,35007,32287,28915,24666,22515,18459,16433,13793,9912,7893,527612,160329,79097,6721,5043,6113,257303,159870,77743,7992,5999,18705,270309,320199,156840,14713,11042,24818,527612,403596,22535,12724,3034,26222,43233,0,511344,412645,7962,13438,3210,26404,37024,10661,511344,400749,1923,57748,6647,21521,7716,15040,511344,443134,39508,7969,13800,504411,396515,55348,58218,17531,527612,83236,12467,8832,2453,59484,83236,41853,28018,9396,1422,2547,162879,326811,18487,508177,162879,38967,3122,4651,9675,61046,43742,1676,758,226,185,166,1335,1088,323,222,154,1787,1846,549,407,320,3122,60975,27872,20260,9139,3624,121870,121950,83616,81040,45695,23057,355358,17176,36113,43535,28379,16238,141441,0,17500,12203,4549,1065,261,0,19307,9165,2727,572,139,0,0,4118,3916,1740,809,43799,36807,25486,11192,3377,1209,23323,17951,6974,48248,11526,11329,3406,26261,729,2630,203,3562,42420
C03,CTY,South Dublin,53.3686071,-6.270652999999999,2284,2483,2399,2350,2173,2112,2108,2033,2054,1982,1976,1901,1934,1771,1789,1761,1718,1698,1719,1711,8827,10871,12217,10511,8959,7769,7268,6664,6064,4065,2856,1901,1076,540,129544,2346,2381,2315,2257,2055,1958,1985,1958,1987,1928,1857,1769,1718,1702,1716,1541,1613,1596,1591,1736,9268,12183,12849,10831,9170,8581,8049,7658,6448,4371,3236,2299,1533,1176,135661,4630,4864,4714,4607,4228,4070,4093,3991,4041,3910,3833,3670,3652,3473,3505,3302,3331,3294,3310,3447,18095,23054,25066,21342,18129,16350,15317,14322,12512,8436,6092,4200,2609,1716,265205,74302,48726,2598,1930,1988,129544,73418,48612,4353,3046,6232,135661,147720,97338,6951,4976,8220,265205,218463,9652,7800,2936,6308,18241,0,263400,224975,3246,8325,3069,6249,13874,3662,263400,211537,2216,22962,9570,9232,3084,4799,263400,241327,12995,2222,2243,258787,215758,29787,14808,4852,265205,40224,8016,3274,2639,26295,40224,19946,12537,5397,1095,1249,89850,155644,5503,250997,89850,29227,2028,2155,4935,29097,21589,819,470,177,162,88,897,642,229,158,102,1131,1112,406,320,190,2028,26989,18046,15728,7415,3202,71380,53978,54138,62912,37075,20592,228695,8315,22587,33207,22857,14471,101437,0,10848,9598,4050,1123,324,0,10972,6325,1813,369,79,0,0,2595,2691,1234,685,18674,21820,18518,8554,2726,1088,18640,13210,5354,37204,6892,5163,1729,13784,411,1185,122,1718,36638
C04,CTY,Fingal,53.4923939,-6.2539778,2751,2971,2771,2754,2479,2255,2323,2231,2282,2034,1948,1876,1820,1722,1702,1668,1632,1642,1568,1643,8228,11128,14025,13041,10440,8349,7133,5948,5056,3825,2457,1507,778,501,134488,2703,2694,2610,2656,2319,2226,2145,2250,2246,2060,1929,1744,1707,1653,1546,1482,1495,1469,1475,1574,8743,12879,14951,13407,10441,8836,7531,6470,5469,4036,2499,1848,1237,1173,139503,5454,5665,5381,5410,4798,4481,4468,4481,4528,4094,3877,3620,3527,3375,3248,3150,3127,3111,3043,3217,16971,24007,28976,26448,20881,17185,14664,12418,10525,7861,4956,3355,2015,1674,273991,75879,51966,2703,2220,1720,134488,74849,51936,4054,3358,5306,139503,150728,103902,6757,5578,7026,273991,208892,12613,9950,3597,12988,22727,0,270767,217643,4837,10591,3792,13141,17156,3607,270767,203058,1357,36323,12031,9265,3675,5058,270767,243829,15398,2444,3667,265338,212860,36634,19111,5386,273991,54123,10345,4492,3274,36012,54123,27082,16506,7225,1625,1685,96537,155263,5691,257491,96537,31096,1986,2129,5034,30592,24892,808,407,206,155,76,844,601,229,183,129,1142,1008,435,338,205,1986,27426,17813,16982,7947,3038,73206,54852,53439,67928,39735,19227,235181,6991,21496,35486,24283,13323,101579,0,12068,11188,4592,1225,295,0,9053,5378,1672,308,60,0,0,2577,2763,1113,479,20435,21121,19143,9027,2646,834,22963,11520,5478,39961,6038,3952,1340,11330,367,999,114,1480,44467
C05,CTY,Dun Laoghaire-Rathdown,53.2602149,-6.2047205,1409,1407,1366,1313,1244,1210,1224,1238,1220,1186,1189,1254,1256,1298,1311,1274,1207,1310,1442,1718,7430,7560,7903,7161,6747,6668,6169,5451,4730,4101,3347,2621,1579,1024,98567,1352,1290,1269,1257,1248,1235,1172,1241,1165,1159,1154,1151,1230,1275,1212,1203,1199,1232,1371,1720,7827,8249,8339,7567,7381,7661,6863,6036,5436,4790,4123,3327,2575,2385,107694,2761,2697,2635,2570,2492,2445,2396,2479,2385,2345,2343,2405,2486,2573,2523,2477,2406,2542,2813,3438,15257,15809,16242,14728,14128,14329,13032,11487,10166,8891,7470,5948,4154,3409,206261,53656,39646,1888,1436,1941,98567,55119,40099,2850,2425,7201,107694,108775,79745,4738,3861,9142,206261,167677,11968,3360,478,6122,12991,0,202596,177458,4595,3544,505,5799,8735,1960,202596,172798,403,17238,1373,5851,2278,2655,202596,180442,12729,3005,3688,199864,157527,24640,20970,3124,206261,24156,3438,3919,404,16395,24156,14908,6216,1911,387,734,83000,111783,3385,198168,83000,20268,1773,2284,4977,29636,23564,498,457,145,119,82,803,575,184,138,73,970,1032,329,257,155,1773,23162,11500,10908,5778,2059,53407,46324,34500,43632,28890,12963,166309,5112,13743,22590,17563,8925,67933,0,6070,5914,2737,622,131,0,8299,4732,1562,279,39,0,0,1731,2024,880,337,18050,14369,12377,6323,1781,507,12641,10121,4157,26919,2636,3960,750,7346,197,830,65,1092,25065
C06,CTY,Kildare,53.1589342,-6.9095683,1956,1945,1952,2004,1809,1746,1806,1818,1796,1776,1715,1591,1604,1504,1520,1395,1378,1308,1391,1304,6290,7668,9276,9309,8412,7121,6042,5138,4349,3267,1933,1267,767,501,104658,1869,1868,1862,1904,1745,1701,1705,1732,1708,1552,1567,1469,1514,1435,1395,1289,1277,1234,1317,1325,6756,8576,9574,9489,8152,7168,6031,5184,4335,3069,2054,1503,1103,1192,105654,3825,3813,3814,3908,3554,3447,3511,3550,3504,3328,3282,3060,3118,2939,2915,2684,2655,2542,2708,2629,13046,16244,18850,18798,16564,14289,12073,10322,8684,6336,3987,2770,1870,1693,210312,58773,40521,2238,1547,1579,104658,55178,40376,2992,2130,4978,105654,113951,80897,5230,3677,6557,210312,175435,10760,6749,1474,4699,9681,0,208798,182259,3982,7194,1558,4615,7213,1977,208798,177232,874,19060,3836,3345,1956,2495,208798,190020,8657,4385,1927,204989,180303,16687,10873,2449,210312,25012,7024,2613,1375,14000,25012,11557,8067,3822,730,836,83526,112261,3073,198860,83526,26810,1806,1885,4539,27578,20282,626,404,185,138,76,803,559,210,150,84,1003,963,395,288,160,1806,19928,13103,13366,6624,2627,55648,39856,39309,53464,33120,16696,182445,4968,15677,27675,20170,11551,80041,0,8252,8564,3782,974,226,0,7245,4326,1258,271,43,0,0,2107,2229,964,447,14960,15497,14997,7269,2209,716,17754,9305,4737,31796,3780,3010,925,7715,264,828,85,1177,35514
C07,CTY,Kilkenny,52.6541454,-7.2447879,761,798,809,795,756,753,672,717,687,685,754,661,668,682,715,681,646,630,668,497,2594,3049,3779,3850,3445,3278,3128,2736,2472,1927,1352,1031,657,455,47788,791,718,737,650,686,630,673,706,704,698,652,659,643,685,655,632,578,648,623,477,2588,3350,3789,3778,3435,3289,3010,2629,2250,1918,1396,1198,861,895,47631,1552,1516,1546,1445,1442,1383,1345,1423,1391,1383,1406,1320,1311,1367,1370,1313,1224,1278,1291,974,5182,6399,7568,7628,6880,6567,6138,5365,4722,3845,2748,2229,1518,1350,95419,26292,18786,1053,733,924,47788,23667,18717,1231,906,3110,47631,49959,37503,2284,1639,4034,95419,82655,5348,2033,396,1660,2492,0,94584,85304,2412,2177,419,1630,1729,913,94584,84189,483,6782,674,883,490,1083,94584,87650,3032,1673,688,93043,84448,6048,3863,1060,95419,7544,2113,1013,357,4061,7544,3406,2382,1206,249,301,38619,50694,1492,90805,38619,12027,746,680,2042,13174,9638,312,125,84,67,45,321,200,107,79,39,425,325,191,146,84,746,9507,5835,5380,2995,1323,25040,19014,17505,21520,14975,8370,81384,2432,6902,11166,9092,5763,35355,0,3362,3188,1569,427,89,0,3838,1944,667,151,44,0,0,909,1058,516,203,7075,7200,6041,3294,1094,336,7041,4610,2263,13914,1477,1585,368,3430,117,449,55,621,14246
C08,CTY,Laois,52.994295,-7.332300699999999,815,771,752,783,736,667,680,699,670,629,619,583,585,592,509,512,508,472,422,401,2389,3073,3540,3298,3156,2676,2414,2070,1712,1346,953,737,509,309,40587,703,779,725,764,710,606,692,687,655,623,642,575,588,549,525,553,508,466,390,434,2319,3242,3554,3272,2901,2524,2214,1905,1621,1318,993,819,600,516,39972,1518,1550,1477,1547,1446,1273,1372,1386,1325,1252,1261,1158,1173,1141,1034,1065,1016,938,812,835,4708,6315,7094,6570,6057,5200,4628,3975,3333,2664,1946,1556,1109,825,80559,22990,15268,983,660,686,40587,20677,15114,1123,765,2293,39972,43667,30382,2106,1425,2979,80559,69186,3795,2120,721,1580,2774,0,80176,70872,1693,2299,753,1584,2101,874,80176,68361,668,6341,1596,937,571,1702,80176,74043,2469,1660,495,78667,69422,6933,2581,1623,80559,8253,2293,869,623,4468,8253,3612,2605,1434,278,324,31311,42770,1933,76014,31311,10013,516,555,1627,10511,7819,270,91,68,52,29,240,123,68,49,36,276,214,136,101,65,516,7623,4885,4726,2613,1190,21037,15246,14655,18904,13065,7617,69487,2031,5806,9845,7965,5283,30930,0,3136,3024,1487,445,95,0,2859,1511,531,103,34,0,0,719,862,415,224,5592,5995,5254,2880,963,353,6587,3519,1822,11928,1480,1171,364,3015,120,348,34,502,13429
C09,CTY,Longford,53.7275564,-7.793108999999999,345,321,324,345,329,302,314,313,333,327,306,288,307,264,261,285,250,258,212,203,1071,1285,1493,1497,1399,1285,1190,1183,1074,804,593,469,240,179,19649,289,317,329,322,320,323,282,279,304,297,283,268,254,253,246,270,244,241,220,188,1086,1433,1492,1383,1408,1195,1154,1089,984,829,534,488,388,359,19351,634,638,653,667,649,625,596,592,637,624,589,556,561,517,507,555,494,499,432,391,2157,2718,2985,2880,2807,2480,2344,2272,2058,1633,1127,957,628,538,39000,11054,7380,484,360,371,19649,9498,7338,654,406,1455,19351,20552,14718,1138,766,1826,39000,31711,2574,1535,458,1083,1402,0,38763,32822,1155,1628,487,1083,1124,464,38763,31635,743,4232,923,381,298,551,38763,35758,1452,581,342,38133,34313,3137,1087,463,39000,4897,1618,387,401,2491,4897,1794,1602,1067,245,189,14388,21982,705,37075,14388,4628,261,217,699,4792,3621,170,40,24,22,23,109,76,32,27,17,152,116,56,49,40,261,3944,2379,2042,1113,683,10161,7888,7137,8168,5565,4395,33153,1063,2909,4320,3416,3064,14772,0,1303,1296,615,236,69,0,1609,728,250,67,22,0,0,312,407,236,130,2881,2912,2336,1272,539,221,2712,1762,865,5339,747,737,205,1689,60,177,15,252,5668
C10,CTY,Louth,53.8969758,-6.467097099999999,1057,1042,1131,998,1092,977,971,951,923,1039,937,866,898,850,831,806,764,787,760,767,3869,4357,4864,4907,4694,4188,3493,3202,2747,2207,1626,1125,644,393,60763,991,1032,1066,1021,981,960,931,919,944,892,913,930,884,872,763,752,777,744,753,671,3993,4673,5122,5036,4629,4060,3551,3018,2774,2281,1738,1346,1058,1059,62134,2048,2074,2197,2019,2073,1937,1902,1870,1867,1931,1850,1796,1782,1722,1594,1558,1541,1531,1513,1438,7862,9030,9986,9943,9323,8248,7044,6220,5521,4488,3364,2471,1702,1452,122897,34416,22552,1545,1098,1152,60763,32188,22646,2067,1441,3792,62134,66604,45198,3612,2539,4944,122897,99536,10959,1736,1628,2689,5537,0,122085,108104,2018,1880,1747,2720,4343,1273,122085,104674,663,8612,3390,1892,1047,1807,122085,112683,4820,1487,1050,120040,106845,8882,5414,1756,122897,12826,1862,1239,1532,8193,12826,6213,3782,2028,384,419,42106,72206,2266,116578,42106,14246,826,761,2167,13349,10341,416,151,78,81,43,353,245,99,78,51,473,396,177,159,94,826,12278,7663,7202,3702,1566,32411,24556,22989,28808,18510,9900,104763,3792,9423,15133,11349,6856,46553,0,4769,4466,2079,565,118,0,4926,2487,830,187,43,0,0,1280,1279,621,275,8486,9695,8233,4188,1373,436,9016,5609,2688,17313,2804,2260,715,5779,177,604,52,833,18169
C11,CTY,Meath,53.60554800000001,-6.6564169,1748,1780,1829,1825,1676,1671,1643,1618,1550,1597,1443,1400,1461,1368,1267,1262,1183,1160,1122,1020,4872,6105,7813,8346,7519,6460,5228,4467,3888,2954,1983,1320,814,518,91910,1695,1750,1789,1778,1632,1521,1528,1481,1455,1431,1404,1300,1271,1316,1239,1152,1094,1083,982,1006,5036,6936,8422,8445,7337,6181,5092,4412,3724,2960,1979,1595,1117,1082,92225,3443,3530,3618,3603,3308,3192,3171,3099,3005,3028,2847,2700,2732,2684,2506,2414,2277,2243,2104,2026,9908,13041,16235,16791,14856,12641,10320,8879,7612,5914,3962,2915,1931,1600,184135,50404,36820,2024,1363,1299,91910,46474,36781,2629,1810,4531,92225,96878,73601,4653,3173,5830,184135,154890,10055,3652,3180,4050,6998,0,182825,160995,3638,3867,3362,4011,4924,2028,182825,156900,967,15789,3252,2050,1412,2455,182825,168486,5750,3795,1367,179398,160527,13244,7990,2374,184135,19832,3867,2021,2964,10980,19832,9366,5876,3209,706,675,68259,102334,2951,173544,68259,23159,1549,1628,3734,21380,16310,499,350,161,120,67,698,478,169,137,67,851,828,330,257,134,1549,16994,11680,12011,6232,2488,49405,33988,35040,48044,31160,15706,163938,4064,13702,24797,18968,10806,72337,0,7239,7749,3537,899,172,0,6483,3672,1206,263,56,0,0,1837,1992,976,394,12930,13722,13258,6735,2138,622,16521,8365,4380,29266,2809,2596,722,6127,266,719,97,1082,33072
C12,CTY,Offaly,53.2356871,-7.7122229,629,627,660,657,629,599,611,615,598,596,584,615,583,617,580,566,559,558,485,432,2263,2570,2872,2982,2790,2619,2443,2082,1829,1447,1060,814,506,353,38430,612,618,648,578,581,570,555,586,600,600,541,556,571,594,545,527,521,463,454,389,2206,2804,3020,2917,2761,2623,2251,1999,1838,1423,1105,913,677,611,38257,1241,1245,1308,1235,1210,1169,1166,1201,1198,1196,1125,1171,1154,1211,1125,1093,1080,1021,939,821,4469,5374,5892,5899,5551,5242,4694,4081,3667,2870,2165,1727,1183,964,76687,21253,14941,909,587,740,38430,18968,14813,1149,753,2574,38257,40221,29754,2058,1340,3314,76687,66626,3748,1738,980,1267,1884,0,76243,68523,1566,1865,1036,1239,1335,679,76243,67046,1025,5795,468,757,410,742,76243,70813,2623,1118,453,75007,69400,4685,1957,645,76687,6664,1823,687,865,3289,6664,2622,2154,1343,293,252,28178,43663,1052,72893,28178,9286,484,414,1397,9347,6966,284,76,51,61,26,214,106,83,50,31,270,182,134,111,57,484,7494,4790,4438,2383,1205,20310,14988,14370,17752,11915,7713,66738,2013,5713,9211,7274,5359,29570,0,2804,2689,1251,381,109,0,3076,1595,522,130,28,0,0,742,820,454,228,5481,5880,5026,2593,965,365,5767,3734,1876,11377,1349,1260,331,2940,118,357,37,512,11806
C13,CTY,Westmeath,53.5345308,-7.4653217,720,677,701,711,694,691,672,633,614,660,630,609,643,633,601,625,602,600,565,527,2671,3114,3431,3268,3166,2926,2621,2328,1975,1549,1159,870,511,386,42783,711,696,656,683,633,618,612,653,598,638,619,648,573,595,618,621,606,558,517,511,2702,3347,3501,3372,3149,2937,2584,2189,1915,1549,1205,995,799,773,43381,1431,1373,1357,1394,1327,1309,1284,1286,1212,1298,1249,1257,1216,1228,1219,1246,1208,1158,1082,1038,5373,6461,6932,6640,6315,5863,5205,4517,3890,3098,2364,1865,1310,1159,86164,24094,16178,1020,747,744,42783,22154,16144,1344,912,2827,43381,46248,32322,2364,1659,3571,86164,71589,4875,2149,958,1775,3908,0,85254,74253,1929,2345,1016,1809,3031,871,85254,72210,853,7396,1218,1546,731,1300,85254,77837,3298,1770,926,83831,75432,6470,3143,1119,86164,9782,2290,918,889,5685,9782,4268,3235,1582,341,356,32771,47700,1532,82003,32771,10213,597,547,1685,11128,8304,297,101,62,58,50,271,141,74,74,37,326,242,136,132,87,597,8599,5237,4684,2468,1286,22274,17198,15711,18736,12340,8170,72155,2247,6283,9779,7536,5655,31500,0,3010,2883,1288,416,106,0,3428,1607,526,148,23,0,0,829,933,486,239,6352,6438,5319,2747,1050,368,6162,3865,2002,12029,1434,1499,430,3363,107,368,55,530,12453
C14,CTY,Wexford,52.336916,-6.4633381,1151,1120,1241,1195,1170,1124,1159,1173,1112,1160,1053,1087,1052,1054,1072,980,960,953,821,786,3811,4565,5380,5516,5420,4997,4503,3984,3690,3084,2382,1651,917,586,71909,1064,1128,1222,1128,1120,1074,1034,1088,1082,1019,1003,1089,1096,1025,969,970,980,935,851,790,3988,5064,5792,5573,5395,5105,4502,3922,3656,3088,2403,1819,1273,1164,73411,2215,2248,2463,2323,2290,2198,2193,2261,2194,2179,2056,2176,2148,2079,2041,1950,1940,1888,1672,1576,7799,9629,11172,11089,10815,10102,9005,7906,7346,6172,4785,3470,2190,1750,145320,39239,27846,1935,1387,1502,71909,36535,27877,2370,1745,4884,73411,75774,55723,4305,3132,6386,145320,125144,9264,3765,847,2488,2631,0,144139,129238,4604,4010,865,2379,1746,1297,144139,126747,1501,12045,481,916,757,1692,144139,133717,5512,1718,984,141931,127842,9659,6204,1615,145320,11257,3905,1162,732,5458,11257,4768,3547,2046,451,445,50936,85218,2240,138394,50936,17307,924,777,2583,16000,12953,392,146,98,64,68,376,238,151,94,65,548,384,249,158,133,924,15698,9132,8335,4139,1885,39189,31396,27396,33340,20695,12008,124835,4199,11150,17384,12672,8352,53757,0,5330,5314,2196,635,132,0,5983,2825,813,215,53,0,0,1500,1589,736,369,11499,11313,9639,4598,1586,554,10352,6717,3321,20390,3049,2498,780,6327,206,674,93,973,20758
C15,CTY,Wicklow,52.9808207,-6.044588999999999,1133,1164,1231,1146,1128,1052,1135,977,1026,999,1025,1025,989,952,991,918,908,879,898,802,4021,4206,5351,5496,5142,4912,4181,3596,3391,2673,1793,1251,710,441,67542,1207,1137,1125,1147,1056,1008,1026,1026,999,931,918,953,912,853,901,882,816,869,833,777,3911,4777,5586,5697,5354,5058,4231,3727,3248,2699,1964,1382,1021,1067,69098,2340,2301,2356,2293,2184,2060,2161,2003,2025,1930,1943,1978,1901,1805,1892,1800,1724,1748,1731,1579,7932,8983,10937,11193,10496,9970,8412,7323,6639,5372,3757,2633,1731,1508,136640,37052,26253,1808,1267,1162,67542,34830,26343,2183,1688,4054,69098,71882,52596,3991,2955,5216,136640,114985,8535,2597,811,2870,5080,0,134878,120409,3749,2754,848,2716,3310,1092,134878,117991,721,11128,489,2049,1044,1456,134878,123742,5088,2451,1272,132553,108738,15477,10770,1655,136640,12459,2744,1647,757,7311,12459,6529,3559,1649,298,424,48502,79141,2000,129643,48502,15900,968,1011,2624,15475,12158,366,182,83,87,51,403,310,106,98,51,565,492,189,185,102,968,14085,8752,8523,4022,1582,36964,28170,26256,34092,20110,10006,118634,3790,10662,17811,12272,6911,51446,0,5125,5259,2175,539,118,0,5507,3091,971,195,35,0,0,1318,1435,642,259,10295,10632,9668,4581,1376,412,10442,6640,2847,19929,2582,2509,727,5818,192,650,80,922,20730
